ReviewVenue,PublicationVenue,Title,delete,Authors,AuthorPDF,Abstract,ExplanationPage,SourceMaterials,Data,Preregistered,Video,DOI,PublicationYear,ConferenceYear,ConferenceTrack,ConferenceRoom,ConferenceDay,ConferenceSession,date,ConferenceTimeStart,ConferenceTimeEnd
InfoVis,TVCG,SRVis: Towards Better Spatial Integration in Ranking Visualization,J),"Di Weng, Ran Chen, Zikun Deng, Feiran Wu, Jingmin Chen, Yingcai Wu",http://zjuvis.org/files/srvis.pdf,"Interactive ranking techniques have substantially promoted analysts' ability in making judicious and informed decisions effectively based on multiple criteria. However, the existing techniques cannot satisfactorily support the analysis tasks involved in ranking large-scale spatial alternatives, such as selecting optimal locations for chain stores, where the complex spatial contexts involved are essential to the decision-making process. Limitations observed in the prior attempts of integrating rankings with spatial contexts motivate us to develop a context-integrated visual ranking technique. Based on a set of generic design requirements we summarized by collaborating with domain experts, we propose SRVis, a novel spatial ranking visualization technique that supports efficient spatial multi-criteria decision-making processes by addressing three major challenges in the aforementioned context integration, namely, a) the presentation of spatial rankings and contexts, b) the scalability of rankings' visual representations, and c) the analysis of context-integrated spatial rankings. Specifically, we encode massive rankings and their cause with scalable matrix-based visualizations and stacked bar charts based on a novel two-phase optimization framework that minimizes the information loss, and the flexible spatial filtering and intuitive comparative analysis are adopted to enable the in-depth evaluation of the rankings and assist users in selecting the best spatial alternative. The effectiveness of the proposed technique has been evaluated and demonstrated with an empirical study of optimization methods, two case studies, and expert interviews.",https://srvis.zjuvis.org/,,,,vimeo 289784783,10.1109/TVCG.2018.2865126,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Multiple Dimensions,23-Oct,3:00 PM,3:20 PM
InfoVis,TVCG,A Declarative Rendering Model for Multiclass Density Maps,J),"Jaemin Jo, Frédéric Vernier, Pierre Dragicevic, Jean-Daniel Fekete",https://hal.inria.fr/hal-01848427/document,"Multiclass maps are scatterplots, multidimensional projections, or thematic geographic maps where data points have a categorical attribute in addition to two quantitative attributes. This categorical attribute is often rendered using shape or color, which does not scale when overplotting occurs. When the number of data points increases, multiclass maps must resort to data aggregation to remain readable. We present multiclass density maps: multiple 2D histograms computed for each of the category values. Multiclass density maps are meant as a building block to improve the expressiveness and scalability of multiclass map visualization. In this article, we first present a short survey of aggregated multiclass maps, mainly from cartography. We then introduce a declarative model—a simple yet expressive JSON grammar associated with visual semantics—that specifies a wide design space of visualizations for multiclass density maps. Our declarative model is expressive and can be efficiently implemented in visualization front-ends such as modern web browsers. Furthermore, it can be reconfigured dynamically to support data exploration tasks without recomputing the raw data. Finally, we demonstrate how our model can be used to reproduce examples from the past and support exploring data at scale.",https://jaeminjo.github.io/Multiclass-Density-Maps/,https://github.com/e-/Multiclass-Density-Maps,,,vimeo 289785026,10.1109/TVCG.2018.2865141,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Multiple Dimensions,23-Oct,3:20 PM,3:40 PM
InfoVis,TVCG,DimReader: Axis lines that explain non-linear projections,J),"Rebecca Faust, David Glickenstein, Carlos Scheidegger",https://arxiv.org/pdf/1710.00992.pdf,"Non-linear dimensionality reduction (NDR) methods such as LLE and t-SNE are popular with visualization researchers and experienced data analysts, but present serious problems of interpretation. In this paper, we present DimReader, a technique that recovers readable axes from such techniques. DimReader is based on analyzing infinitesimal perturbations of the dataset with respect to variables of interest. The perturbations define exactly how we want to change each point in the original dataset and we measure the effect that these changes have on the projection. The recovered axes are in direct analogy with the axis lines (grid lines) of traditional scatterplots. We also present methods for discovering perturbations on the input data that change the projection the most. The calculation of the perturbations is efficient and easily integrated into programs written in modern programming languages. We present results of DimReader on a variety of NDR methods and datasets both synthetic and real-life, and show how it can be used to compare different NDR methods. Finally, we discuss limitations of our proposal and situations where further research is needed.",,,,,vimeo 289784574,10.1109/tvcg.2018.2865194,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Multiple Dimensions,23-Oct,3:40 PM,4:00 PM
SciVis,TVCG,Recirculation Surfaces for Flow Visualization,J),"Thomas Wilde, Christian Rössl, Holger Theisel",http://vc.cs.ovgu.de/files/publications/2018/Wilde_2018_VISa.pdf,"We present a formal approach to the visual analysis of recirculation in flows by introducing recirculation surfaces for 3D unsteady flow fields. Recirculation surfaces are the loci where massless particle integration returns to its starting point after some variable, finite integration. We give a rigorous definition of recirculation surfaces as 2-manifolds embedded in 5D space and study their properties. Based on this we construct an algorithm for their extraction, which searches for intersections of a recirculation surface with lines defined in 3D. This reduces the problem to a repeated search for critical points in 3D vector fields. We provide a uniform sampling of the search space paired with a surface reconstruction and visualize results. This way, we present the first algorithm for a comprehensive feature extraction in the 5D flow map of a 3D flow. The problem of finding isolated closed orbits in steady vector fields occurs as a special case of recirculation surfaces. This includes isolated closed orbits with saddle behavior. We show recirculation surfaces for a number of artificial and real flow data sets.",,,,,video http://isgwww.cs.uni-magdeburg.de/visual/files/publications/2018/Wilde_2018_VISa.mp4,10.1109/tvcg.2018.2864813,2018,2018,SciVis,Estrel Hall A+B,Tuesday,Flow Features,23-Oct,2:20 PM,2:40 PM
SciVis,TVCG,Objective Vortex Corelines of Finite-sized Objects in Fluid Flows,J),"Tobias Günther, Holger Theisel",https://isgwww.cs.uni-magdeburg.de/visual/files/publications/2018/Guenther_2018_VIS.pdf,"Vortices are one of the most-frequently studied phenomena in fluid flows. The center of the rotating motion is called the vortex coreline and its successful detection strongly depends on the choice of the reference frame. The optimal frame moves with the center of the vortex, which incidentally makes the observed fluid flow steady and thus standard vortex coreline extractors such as Sujudi-Haimes become applicable. Recently, an objective optimization framework was proposed that determines a near-steady reference frame for tracer particles. In this paper, we extend this technique to the detection of vortex corelines of inertial particles. An inertial particle is a finite-sized object that is carried by a fluid flow. In contrast to the usual tracer particles, they do not move tangentially with the flow, since they are subject to gravity and exhibit mass-dependent inertia. Their particle state is determined by their position and own velocity, which makes the search for the optimal frame a high-dimensional problem. We demonstrate in this paper that the objective detection of an inertial vortex coreline can be reduced in 2D to a critical point search in 2D. For 3D flows, however, the vortex coreline criterion remains a parallel vectors condition in 6D. To detect the vortex corelines we propose a recursive subdivision approach that is tailored to the underlying structure of the 6D vectors. The resulting algorithm is objective, and we demonstrate the vortex coreline extraction in a number of 2D and 3D vector fields.",,,,,video http://isgwww.cs.uni-magdeburg.de/visual/files/publications/2018/Guenther_2018_VIS.mp4,10.1109/TVCG.2018.2864828,2018,2018,SciVis,Estrel Hall A+B,Tuesday,Flow Features,23-Oct,2:40 PM,3:00 PM
TVCG,TVCG,Towards High-quality Visualization of Superfluid Vortices,T),"Yulong Guo, Xiaopei Liu, Chi Xiong, Xuemiao Xu, Chi-Wing Fu",https://arxiv.org/pdf/1710.02630.pdf,"Superfluidity is a special state of matter exhibiting macroscopic quantum phenomena and acting like a fluid with zero viscosity. In such a state, superfluid vortices exist as phase singularities of the model equation with unique distributions. This paper presents novel techniques to aid the visual understanding of superfluid vortices based on the state-of-the-art non-linear Klein-Gordon equation, which evolves a complex scalar field, giving rise to special vortex lattice/ring structures with dynamic vortex formation, reconnection, and Kelvin waves, etc. By formulating a numerical model with theoretical physicists in superfluid research, we obtain high-quality superfluid flow data sets without noise-like waves, suitable for vortex visualization. By further exploring superfluid vortex properties, we develop a new vortex identification and visualization method: a novel mechanism with velocity circulation to overcome phase singularity and an orthogonal-plane strategy to avoid ambiguity. Hence, our visualizations can help reveal various superfluid vortex structures and enable domain experts for related visual analysis, such as the steady vortex lattice/ring structures, dynamic vortex string interactions with reconnections and energy radiations, where the famous Kelvin waves and decaying vortex tangle were clearly observed. These visualizations have assisted physicists to verify the superfluid model, and further explore its dynamic behavior more intuitively.",,,,,youtube TlEQbPSbYTQ ,10.1109/TVCG.2017.2719684,2017,2018,SciVis,Estrel Hall A+B,Tuesday,Flow Features,23-Oct,3:00 PM,3:20 PM
TVCG,TVCG,Semantic Flow Graph: A Framework for Discovering Object Relationships in Flow Fields,T),"Jun Tao, Chaoli Wang, Nitesh Chawla, Lei Shi, Seung Hyun Kim",https://www3.nd.edu/~cwang11/research/tvcg18-sfg.pdf,"Visual exploration of flow fields is important for studying dynamic systems. We introduce semantic flow graph (SFG), a novel graph representation and interaction framework that enables users to explore the relationships among key objects (i.e., field lines, features, and spatiotemporal regions) of both steady and unsteady flow fields. The objects and their relationships are organized as a heterogeneous graph. We assign each object a set of attributes, based on which a semantic abstraction of the heterogeneous graph is generated. This semantic abstraction is SFG. We design a suite of operations to explore the underlying flow fields based on this graph representation and abstraction mechanism. Users can flexibly reconfigure SFG to examine the relationships among groups of objects at different abstraction levels. Three linked views are developed to display SFG, its node split criteria and history, and the objects in the spatial volume. For simplicity, we introduce SFG construction and exploration for steady flow fields with critical points being the only features. Then we demonstrate that SFG can be naturally extended to deal with unsteady flow fields and multiple types of features. We experiment with multiple data sets and conduct an expert evaluation to demonstrate the effectiveness of our approach. ",,,,,video http://www.nd.edu/~cwang11/research/tvcg18-sfg.wmv,10.1109/tvcg.2017.2773071,2018,2018,SciVis,Estrel Hall A+B,Tuesday,Flow Features,23-Oct,3:20 PM,3:40 PM
VAST,TVCG,Visual Abstraction of the Large Scale Geospatial Origin-Destination Movement Data,J),"Zhiguang Zhou, Linhao Meng, Cheng Tang, Ying Zhao, Zhiyong Guo, Miaoxin Hu, Wei Chen",,,,,,,vimeo 289787224,10.1109/TVCG.2018.2864503,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Spatio-Temporal Data,23-Oct,4:20 PM,4:40 PM
VAST,TVCG,Analysis of Flight Variability: a Systematic Approach,J),"Natalia Andrienko, Gennady Andrienko, Jose Manuel Cordero Garcia, David Scarlatti",http://openaccess.city.ac.uk/20334/1/analysis-flight-variability.pdf,"In movement data analysis, there exists a problem of comparing multiple trajectories of moving objects to common or distinct reference trajectories. We introduce a general conceptual framework for comparative analysis of trajectories and an analytical procedure, which consists of (1) finding corresponding points in pairs of trajectories, (2) computation of pairwise difference measures, and (3) interactive visual analysis of the distributions of the differences with respect to space, time, set of moving objects, trajectory structures, and spatio-temporal context. We propose a combination of visualisation, interaction, and data transformation techniques supporting the analysis and demonstrate the use of our approach for solving a challenging problem from the aviation domain.",,,,,vimeo 289787283,10.1109/TVCG.2018.2864811,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Spatio-Temporal Data,23-Oct,4:40 PM,5:00 PM
VAST,TVCG,ForVizor: Visualizing Spatio-Temporal Team Formations in Soccer,J),"Yingcai Wu, Xiao Xie, Jiachen Wang, Dazhen Deng, Hongye Liang, Hui Zhang, Shoubin Cheng, Wei Chen",http://zjuvis.org/files/forvizor.pdf,"Regarded as a high-level tactic in soccer, a team formation assigns players different tasks and indicates their active regions on the pitch, thereby influencing the team performance significantly. Analysis of formations in soccer has become particularly indispensable for soccer analysts. However, formations of a team are intrinsically time-varying and contain inherent spatial information. The spatio-temporal nature of formations and other characteristics of soccer data, such as multivariate features, make analysis of formations in soccer a challenging problem. In this study, we closely worked with domain experts to characterize domain problems of formation analysis in soccer and formulated several design goals. We design a novel spatio-temporal visual representation of changes in team formation, allowing analysts to visually analyze the evolution of formations and track the spatial flow of players within formations over time. Based on the new design, we further design and develop ForVizor, a visual analytics system, which empowers users to track the spatio-temporal changes in formation and understand how and why such changes occur. With ForVizor, domain experts conduct formation analysis of two games. Analysis results with insights and useful feedback are summarized in two case studies.",,,,,vimeo 289787566,10.1109/tvcg.2018.2865041,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Spatio-Temporal Data,23-Oct,5:00 PM,5:20 PM
VAST,TVCG,MotionRugs: Visualizing Collective Trends in Space and Time,J),"Juri Buchmuller, Dominik Jackle, Eren Cakmak, Ulrik Brandes, Daniel Keim",,,,https://github.com/jbuchmueller/motionrugs,,,vimeo 289787684,10.1109/tvcg.2018.2865049,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Spatio-Temporal Data,23-Oct,5:20 PM,5:40 PM
VAST,TVCG,Identification of Temporally Varying Areas of Interest in Long Duration Eye Tracking Data Sets,J),"Prithiviraj Kaliappa Gounder Muthumanickam, Katerina Vrotsou, Aida Nordman, Jimmy Johansson, Matthew Cooper",,,,,,,vimeo 289787582,10.1109/TVCG.2018.2865042,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Spatio-Temporal Data,23-Oct,5:40 PM,6:00 PM
InfoVis,TVCG,A Heuristic Approach to Value-Driven Evaluation of Visualizations,J),"Emily Wall, Meeshu Agnihotri, Laura Matzen, Kristin Divis, Michael Haass, Alex Endert, John Stasko",https://www.cc.gatech.edu/~ewall9/media/papers/ValueVIS2018.pdf,"Recently, an approach for determining the value of a visualization was proposed, one moving beyond simple measurements of task accuracy and speed. The value equation contains components for the time savings a visualization provides, the insights and insightful questions it spurs, the overall essence of the data it conveys, and the confidence about the data and its domain it inspires. This articulation of value is purely descriptive, however, providing no actionable method of assessing a visualization's value. In this work, we create a heuristic-based evaluation methodology to accompany the value equation for assessing interactive visualizations. We refer to the methodology colloquially as ICE-T, based on an anagram of the four value components. Our approach breaks the four components down into guidelines, each of which is made up of a small set of low-level heuristics. Evaluators who have knowledge of visualization design principles then assess the visualization with respect to the heuristics. We conducted an initial trial of the methodology on three interactive visualizations of the same data set, each evaluated by 15 visualization experts. We found that the methodology showed promise, obtaining consistent ratings across the three visualizations and mirroring judgments of the utility of the visualizations by instructors of the course in which they were developed.",,,,,vimeo 289784928,10.1109/tvcg.2018.2865146,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Evaluation & Applications,23-Oct,4:20 PM,4:40 PM
InfoVis,TVCG,Patterns and Pace: Quantifying Diverse Exploration Behavior with Visualizations on the Web,J),"Mi Feng, Evan Peck, Lane Harrison",https://osf.io/9wqgk/,"The diverse and vibrant ecosystem of interactive visualizations on the web presents an opportunity for researchers and practitioners to observe and analyze how everyday people interact with data visualizations. However, existing metrics of visualization interaction behavior used in research do not fully reveal the breadth of peoples' open-ended explorations with visualizations. One possible way to address this challenge is to determine high-level goals for visualization interaction metrics, and infer corresponding features from user interaction data that characterize different aspects of peoples' explorations of visualizations. In this paper, we address this challenge by identifying needs for visualization behavior analysis, and by developing corresponding candidate features that can be inferred from users' interaction data with visualization. We then propose metrics that capture novel aspects of peoples' open-ended explorations, including exploration uniqueness and exploration pacing. We evaluate these metrics along with four other metrics recently proposed in visualization literature by applying them to interaction data from prior visualization studies. The results of these evaluations suggest that these new metrics 1) reveal new characteristics of peoples' use of visualizations, 2) can be used to evaluate statistical differences between visualization designs, and 3) are statistically independent of prior metrics used in visualization research. We discuss implications of these results for future studies, including the potential for applying these metrics in visualization interaction analysis, as well as emerging challenges in developing a design space of metrics for visualization engagement.",,,https://osf.io/dx43q/wiki/home/,,vimeo 289785167,10.1109/tvcg.2018.2865117,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Evaluation & Applications,23-Oct,4:40 PM,5:00 PM
TVCG,TVCG,Lineage: Visualizing Multivariate Clinical Data in Genealogy Graphs,T),"Carolina Nobre, Nils Gehlenborg, Hilary Coon, Alexander Lex",https://www.biorxiv.org/content/early/2018/02/27/128579,"The majority of diseases that are a significant challenge for public and individual heath are caused by a combination of hereditary and environmental factors. In this paper we introduce Lineage, a novel visual analysis tool designed to support domain experts who study such multifactorial diseases in the context of genealogies. Incorporating familial relationships between cases with other data can provide insights into shared genomic variants and shared environmental exposures that may be implicated in such diseases. We introduce a data and task abstraction, and argue that the problem of analyzing such diseases based on genealogical, clinical, and genetic data can be mapped to a multivariate graph visualization problem. The main contribution of our design study is a novel visual representation for tree-like, multivariate graphs, which we apply to genealogies and clinical data about the individuals in these families. We introduce data-driven aggregation methods to scale to multiple families. By designing the genealogy graph layout to align with a tabular view, we are able to incorporate extensive, multivariate attributes in the analysis of the genealogy without cluttering the graph. We validate our designs by conducting case studies with our domain collaborators.",,https://github.com/caleydo/lineage,,,vimeo 289789223,10.1109/tvcg.2018.2811488,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Evaluation & Applications,23-Oct,5:00 PM,5:20 PM
InfoVis,TVCG,IDMVis: Temporal Event Sequence Visualization for Type 1 Diabetes Treatment Decision Support,J),"Yixuan Zhang, Kartik Chanana, Cody Dunne",https://github.com/zjanice/PHI/blob/master/IDMVis_IEEEVIS18_preprint.pdf,"Type 1 diabetes is a chronic, incurable autoimmune disease affecting millions of Americans in which the body stops producing insulin and blood glucose levels rise. The goal of intensive diabetes management is to lower average blood glucose through frequent adjustments to insulin protocol, diet, and behavior. Manual logs and medical device data are collected by patients, but these multiple sources are presented in disparate visualization designs to the clinician—making temporal inference difficult. We conducted a design study over 18 months with clinicians performing intensive diabetes management. We present a data abstraction and novel hierarchical task abstraction for this domain. We also contribute IDMVis: a visualization tool for temporal event sequences with multidimensional, interrelated data. IDMVis includes a novel technique for folding and aligning records by dual sentinel events and scaling the intermediate timeline. We validate our design decisions based on our domain abstractions, best practices, and through a qualitative evaluation with six clinicians. The results of this study indicate that IDMVis accurately reflects the workflow of clinicians. Using IDMVis, clinicians are able to identify issues of data quality such as missing or conflicting data, reconstruct patient records when data is missing, differentiate between days with different patterns, and promote educational interventions after identifying discrepancies.",,https://github.com/VisDunneRight/IDMVis,,,vimeo 289785100,10.1109/tvcg.2018.2865076,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Evaluation & Applications,23-Oct,5:20 PM,5:40 PM
TVCG,TVCG,Visualization of Cultural Heritage Collection Data: State of the Art and Future Challenges,T),"Florian Windhager, Paolo Federico, Günther Schreder, Katrin Glinka, Marian Dörk, Silvia Miksch, Eva Mayr",https://uclab.fh-potsdam.de/wp/wp-content/uploads/tvcg2018.pdf,"After decades of digitization, large cultural heritage collections have emerged on the web, which contain massive stocks of content from galleries, libraries, archives, and museums. This increase in digital cultural heritage data promises new modes of analysis and increased levels of access for academic scholars and casual users alike. Going beyond the standard representations of search-centric and grid-based interfaces, a multitude of approaches has recently started to enable visual access to cultural collections, and to explore them as complex and comprehensive information spaces by the means of interactive visualizations. In contrast to conventional web interfaces, we witness a widening spectrum of innovative visualization types specially designed for rich collections from the cultural heritage sector. This new class of information visualizations gives rise to a notable diversity of interaction and representation techniques while lending currency and urgency to a discussion about principles such as serendipity, generosity, and criticality in connection with visualization design. With this survey, we review information visualization approaches to digital cultural heritage collections and reflect on the state of the art in techniques and design choices. We contextualize our survey with humanist perspectives on the field and point out opportunities for future research.",,,,,vimeo 289789286,10.1109/tvcg.2018.2830759,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Evaluation & Applications,23-Oct,5:40 PM,6:00 PM
SciVis,TVCG,Interactive Visualization of RNA and DNA Structures,J),"Norbert Lindow, Daniel Baum, Morgan Leborgne, Hans-Christian Hege",,,,,,,vimeo 290325417,10.1109/tvcg.2018.2864507,2018,2018,SciVis,Estrel Hall A+B,Tuesday,Biological Applications,23-Oct,4:20 PM,4:40 PM
