ReviewVenue,PublicationVenue,Title,delete,Authors,AuthorPDF,Abstract,ExplanationPage,SourceMaterials,Data,Preregistered,Video,DOI,PublicationYear,ConferenceYear,ConferenceTrack,ConferenceRoom,ConferenceDay,ConferenceSession,date,ConferenceTimeStart,ConferenceTimeEnd
Beliv,Beliv,A case for cognitive models in visualization research,,Lace M. K. Padilla,http://lacepadilla.com/Downloads/publications/Padilla_2018_Preprint.pdf,"The visualization community has seen a rise in the adoption of user studies. Empirical user studies systematically test the assumptions that we make about how visualizations can help or hinder viewers’ performance of tasks. Although the increase in user studies is encouraging, it is vital that research on human reasoning with visualizations be grounded in an understanding of how the mind functions. Previously, there were no sufficient models that illustrate the process of decision-making with visualizations. However, Padilla et al. [41] recently proposed an integrative model for decision-making with visualizations, which expands on modern theories of visualization cognition and decision-making. In this paper, we provide insights into how cognitive models can accelerate innovation, improve validity, and facilitate replication efforts, which have yet to be thoroughly discussed in the visualization community. To do this, we offer a compact overview of the cognitive science of decision-making with visualizations for the visualization community, using the Padilla et al. [41] cognitive model as a guiding framework. By detailing examples of visualization research that illustrate each component of the model, this paper offers novel insights into how visualization researchers can utilize a cognitive framework to guide their user studies. We provide practical examples of each component of the model from empirical studies of visualizations, along with visualization implications of each cognitive process, which have not been directly addressed in prior work. Finally, this work offers a case study in utilizing an understanding of human cognition to generate a novel solution to a visualization reasoning bias in the context of hurricane forecast track visualizations.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 2,21-Oct,4:25 PM,4:30 PM
Beliv,Beliv,Heuristic Evaluation in Visualization: an empirical study - Position paper,,"Beatriz Sousa Santos, Samuel Silva, Paulo Dias",http://sweet.ua.pt/bss/papers/HE-empirical%20study-BELIV18_2.pdf,"Heuristic evaluation is a usability inspection method that has been adapted to evaluate visualization applications through the development of specific sets of heuristics. This paper presents an empirical study meant to assess the capacity of the method to anticipate the usability issues noticed by users when using a visualization application. The potential usability problems identified by 20 evaluators were compared with the issues found for the same application by 46 users through a usability test, as well as with the fixes recommended by the experimenters observing those users during the test. Results suggest that using some heuristics may have elicited potential problems that none of the users noticed while using the application; on the other hand, users encountered unpredicted usability issues.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 2,21-Oct,4:30 PM,4:35 PM
Beliv,Beliv,Reflecting on the Evaluation of Visualization Authoring Systems,,"Donghao Ren, Bongshin Lee, Matthew Brehmer, Nathalie Henry Riche",https://www.microsoft.com/en-us/research/uploads/prod/2018/08/AuthoringToolsEval-BELIV2018.pdf,"In this paper, we discuss the challenges one faces when evaluating authoring systems developed to help people design visualization for communication purposes. We reflect on our own experiences in evaluating the visualization authoring systems that we have developed as well as the evaluation methods used in other recent projects. We also examine alternative approaches for evaluating visualization authoring systems that we believe to be more appropriate than traditional comparative studies. We hope that our discussion is informative, not only for researchers who intend to develop novel visualization authoring systems, but also for reviewers assigned to evaluate the research contributions of these systems. Our discussion concludes with opportunities for facilitating the evaluation and adoption of deployed visualization authoring systems.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 2,21-Oct,4:35 PM,4:40 PM
VizSec,VizSec,Visual-Interactive Identification of Anamolous IP-Block Behavior Using Geo-IP Data,,"Alex Ulmer, Marija Schufrin, David Sessler, Jörn Kohlhammer",https://www.crisp-da.de/fileadmin/News___Veranstaltungen/PDF_fuer_news_events/Visual-interactive_Identification_of_anomalous_IP-Block_behavior_using_G....pdf?_=1540985649,"Routing of network packets from one computer to another is the backbone of the internet and impacts the everyday life of many people. Although, this is a fully automated process it has many security issues. IP hijacks and misconfigurations occur very often and are difficult to detect. In the past visual analytics approaches aimed at detecting these phenomenons but only a few of these integrated geographical references. Geo-IP data is being used mostly as a lookup table which is an undervaluation of its capabilities. In this paper we present a visual-interactive system which only relies on Geo-IP data to create more awareness for this data source. We show that looking at Geo-IP data over time in combination with owner and location information of IP blocks already reveals suspicious cases. Together with our design study we also contribute a pre-processing algorithm for the Maxmind GeoIP2 City and ISP databases, to motivate the community to integrate this data source in future approaches.",http://crisp.igd.fraunhofer.de/,,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Networks and Privacy,22-Oct,11:00 AM,11:25 AM
VizSec,VizSec,Looking for a Black Cat in a Dark Room: Security Visualization for Cyber-Physical System Design and Analysis,,"Georgios Bakirtzis, Brandon James Simon, Cody H Fleming, Carl R. Elks",https://arxiv.org/pdf/1808.08081.pdf,"Today, there is a plethora of software security tools employing visualizations that enable the creation of useful and effective interactive security analyst dashboards. Such dashboards can assist the analyst to understand the data at hand and, consequently, to conceive more targeted preemption and mitigation security strategies. Despite the recent advances, model-based security analysis is lacking tools that employ effective dashboards—to manage potential attack vectors, system components, and requirements. This problem is further exacerbated because model-based security analysis produces significantly larger result spaces than security analysis applied to realized systems—where platform specific information, software versions, and system element dependencies are known. Therefore, there is a need to manage the analysis complexity in model-based security through better visualization techniques. Towards that goal, we propose an interactive security analysis dashboard that provides different views largely centered around the system, its requirements, and its associated attack vector space. This tool makes it possible to start analysis earlier in the system lifecycle. We apply this tool in a significant area of engineering design—the design of cyber-physical systems—where security violations can lead to safety hazards.",,https://github.com/bakirtzisg/security-analyst-dashboard,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Networks and Privacy,22-Oct,11:25 AM,11:50 AM
VizSec,VizSec,Visual Analytics for Root DNS Data,,"Eric Krokos, Alexander R Rowden, Kirsten Whitley, Amitabh Varshney",https://obj.umiacs.umd.edu/dns/Visual_Analytics_For_Root_DNS_Data.pdf,"The analysis of vast amounts of network data for monitoring and safeguarding a core pillar of the internet, the root DNS, is an enormous challenge. Understanding the distribution of the queries received by the root DNS, and how those queries change over time, in an intuitive manner is sought. Traditional query analysis is performed packet by packet, lacking global, temporal, and visual coherence, obscuring latent trends and clusters. Our approach leverages the pattern recognition and computational power of deep learning with 2D and 3D rendering techniques for quick and easy interpretation and interaction with vast amount of root DNS network trafc. Working with real-world DNS experts, our visualization reveals several surprising latent clusters of queries, potentially malicious and benign, discovers previously unknown characteristics of a real-world root DNS DDOS attack, and uncovers unforeseen changes in the distribution of queries received over time. These discoveries will provide DNS analysts with a deeper understanding of the nature of the DNS trafc under their charge, which will help them safeguard the root DNS against future attack.",,,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Networks and Privacy,22-Oct,11:50 AM,12:15 PM
VizSec,VizSec,An Empirical Study on Perceptually Masking Privacy in Graph Visualizations,,"Jia-Kai Chou, Chris Bryan, Jing Li, Kwan-Liu Ma",,,,,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Networks and Privacy,22-Oct,12:15 PM,12:40 PM
VizSec,VizSec,"Building a Machine Learning Model for the SOC, by the Input from the SOC, and Analyzing it for the SOC",,"Awalin Sopan, Matthew Berninger, Murali Kiran Mulakaluri, Raj Katakam",https://osf.io/agsvz/,"This work demonstrates an ongoing effort to employ and explain machine learning model predictions for classifying alerts in Security Operations Centers (SOC). Our ultimate goal is to reduce analyst workload by automating the process of decision making for investigating alerts using the machine learning model in cases where we can completely trust the model. This way, SOC analysts will be able to focus their time and effort to investigate more complex cases of security alerts. To achieve this goal, we developed a system that shows the prediction for an alert and the prediction explanation to security analysts during their daily workflow of investigating individual security alerts. Another part of our system presents the aggregated model analytics to the managers and stakeholders to help them understand the model and decide,on when to trust the model and let the model make the final decision. Using our prediction explanation visualization, security analysts will be able to classify oncoming alerts more efficiently and gain insight into how a machine learning model generates predictions. Our model performance analysis dashboard helps decision makers analyze the model in signature level granularity and gain more insights about the model.",,,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Analytics,22-Oct,2:20 PM,2:45 PM
VizSec,VizSec,Visualizing Automatically Detected Periodic Network Activity,,"Robert Gove, Lauren Deason",https://osf.io/xpwfe,"Malware frequently leaves periodic signals in network logs, but these signals are easily drowned out by non-malicious periodic network activity, such as software updates and other polling activity. This paper describes a novel algorithm based on Discrete Fourier Transforms capable of detecting multiple distinct period lengths in a given timeseries. We pair the output of this algorithm with aggregation summary tables that give users information scent about which detections are worth investigating based on the metadata of the log events rather than the periodic signal. A visualization of selected detections enables users to see all detected period lengths per entity, and compare detections between entities to check for coordinated activity. We evaluate our approach on real-world netflow and DNS data from a large organization, demonstrating how to successfully find malicious periodic activity in a large pool of noise and non-malicious periodic activity.",,,,,youtube Oisi6PlepTA,,2018,2018,VizSec,"Hall 1, Section C",Monday,Analytics,22-Oct,2:45 PM,3:10 PM
VizSec,VizSec,Crush your data with ViC^2ES then CHISSL away,,"Dustin L Arendt, Lyndsey Franklin, Fumeng Yang, Brooke Brisbois, Ryan LaMothe",,,,,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Analytics,22-Oct,3:10 PM,3:35 PM
VizSec,VizSec,ROPMate: Visually Assisting the Creation of ROP-based Exploits,,"Marco Angelini, Graziano Blasilli, Pietro Borrello Borrello, Emilio Coppa, Daniele Cono D'Elia, Serena Ferracci, Simone Lenti, Giuseppe Santucci",,,,,,,youtube uR6skHG9KI8,,2018,2018,VizSec,"Hall 1, Section C",Monday,Malware Analysis,22-Oct,4:20 PM,4:45 PM
VizSec,VizSec,Eventpad: Rapid Malware Analysis and Reverse Engineering using Visual Analytics,,"Bram Cappers, Paulus N. Meessen, Sandro Etalle, Jarke van Wijk",,,http://www.event-pad.com/,,,,youtube g4brXOtPELI,,2018,2018,VizSec,"Hall 1, Section C",Monday,Malware Analysis,22-Oct,4:45 PM,5:10 PM
VizSec,VizSec,User Behavior Map: Visual Exploration for Cyber Security Session Dat,,"Siming Chen, Shuai Chen, Natalia Andrienko, Gennady Andrienko, Phong H. Nguyen, Cagatay Turkay, Olivier Thonnard, Xiaoru Yuan",http://vis.pku.edu.cn/people/simingchen/docs/vizsec18_behaviormap.pdf,"User behavior analysis is complex and especially crucial in the cyber security domain. Understanding dynamic and multi-variate user behavior are challenging. Traditional sequential and timeline based method cannot easily address the complexity of temporal and relational features of user behaviors. We propose a map-based visual metaphor and create an interactive map for encoding user behaviors. It enables analysts to explore and identify user behavior patterns and helps them to understand why some behaviors are regarded as anomalous. We experiment with a real dataset containing multiple user sessions, consisting of sequences of diverse types of actions. In the behavior map, we encode an action as a city and user sessions as trajectories going through the cities. The position of the cities is determined by the sequential and temporal relationship of actions. Spatial and temporal patterns on the map reflect behavior patterns in the action space. In the case study, we illustrate how we explore relationships between actions, identify patterns of the typical session and detect anomaly behaviors.",,,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Short Papers,22-Oct,5:10 PM,5:30 PM
VizSec,VizSec,TAPESTRY: Visualizing Interwoven Identities for Trust Provenance,,"Yifan Yang, John Collomosse, Arthi Kanchana Manohar, Jo Briggs, Jamie Steane",http://nrl.northumbria.ac.uk/35602/1/Yang%20et%20al%20-%20TAPESTRY%20AAM.pdf,"In this paper we report our study involving an early prototype of TAPESTRY, a service to support people and businesses to connect safely online through the use of a Machine Learning generated visualization. Establishing the veracity of the person or business behind a pseudonomized identity, online, is a challenge for many people. In the burgeoning digital economy, finding ways to support good decision-making in potentially risky online exchanges is of vital importance. In this paper, we propose a Machine Learning method to extract temporal patterns from data on individuals’ behavioral norms in their online activity. This monitors and communicates the coherence of these activities to others, especially those who are about to disclose personal information to the individual, in a visualization. We report findings from a user trial that examined how people accessed and interpreted the TAPESTRY visualization to inform their decisions on who to back in a mock crowdfunding campaign to evaluate its efficacy. The study proved the protocol of the Machine Learning method and qualitative insights are informing iterations of the visualization design to enhance user experience and support understanding.",,,,,,,2018,2018,VizSec,"Hall 1, Section C",Monday,Short Papers,22-Oct,5:30 PM,5:50 PM
